Barcode	Count	Location
AAT1apft	14472	fQsequences/12-0016_S8/AAT1apft.fastq
ACC1pft	9179	fQsequences/12-0016_S8/ACC1pft.fastq
ADP1pft	16266	fQsequences/12-0016_S8/ADP1pft.fastq
MPIpft	14546	fQsequences/12-0016_S8/MPIpft.fastq
SYA1pft	14003	fQsequences/12-0016_S8/SYA1pft.fastq
VPS13pft	11150	fQsequences/12-0016_S8/VPS13pft.fastq
ZWF1bpft	12953	fQsequences/12-0016_S8/ZWF1bpft.fastq
unmatched	1638	fQsequences/12-0016_S8/unmatched.fastq
total	94207
Barcode	Count	Location
AAT1aprt	14309	fQsequences/12-0016_S8/AAT1aprt.fastq
ACC1prt	9061	fQsequences/12-0016_S8/ACC1prt.fastq
ADP1prt	16198	fQsequences/12-0016_S8/ADP1prt.fastq
MPIprt	14501	fQsequences/12-0016_S8/MPIprt.fastq
SYA1prt	13877	fQsequences/12-0016_S8/SYA1prt.fastq
VPS13prt	11139	fQsequences/12-0016_S8/VPS13prt.fastq
ZWF1bprt	12848	fQsequences/12-0016_S8/ZWF1bprt.fastq
unmatched	2274	fQsequences/12-0016_S8/unmatched.fastq
total	94207
Barcode	Count	Location
AAT1apft	19739	fQsequences/12-0016-S_S28/AAT1apft.fastq
ACC1pft	11589	fQsequences/12-0016-S_S28/ACC1pft.fastq
ADP1pft	23128	fQsequences/12-0016-S_S28/ADP1pft.fastq
MPIpft	21401	fQsequences/12-0016-S_S28/MPIpft.fastq
SYA1pft	20724	fQsequences/12-0016-S_S28/SYA1pft.fastq
VPS13pft	15864	fQsequences/12-0016-S_S28/VPS13pft.fastq
ZWF1bpft	18434	fQsequences/12-0016-S_S28/ZWF1bpft.fastq
unmatched	2399	fQsequences/12-0016-S_S28/unmatched.fastq
total	133278
Barcode	Count	Location
AAT1aprt	19553	fQsequences/12-0016-S_S28/AAT1aprt.fastq
ACC1prt	11395	fQsequences/12-0016-S_S28/ACC1prt.fastq
ADP1prt	23046	fQsequences/12-0016-S_S28/ADP1prt.fastq
MPIprt	21354	fQsequences/12-0016-S_S28/MPIprt.fastq
SYA1prt	20569	fQsequences/12-0016-S_S28/SYA1prt.fastq
VPS13prt	15854	fQsequences/12-0016-S_S28/VPS13prt.fastq
ZWF1bprt	18319	fQsequences/12-0016-S_S28/ZWF1bprt.fastq
unmatched	3188	fQsequences/12-0016-S_S28/unmatched.fastq
total	133278
Barcode	Count	Location
AAT1apft	16925	fQsequences/12-0017_S9/AAT1apft.fastq
ACC1pft	11630	fQsequences/12-0017_S9/ACC1pft.fastq
ADP1pft	18846	fQsequences/12-0017_S9/ADP1pft.fastq
MPIpft	19137	fQsequences/12-0017_S9/MPIpft.fastq
SYA1pft	19590	fQsequences/12-0017_S9/SYA1pft.fastq
VPS13pft	13258	fQsequences/12-0017_S9/VPS13pft.fastq
ZWF1bpft	16406	fQsequences/12-0017_S9/ZWF1bpft.fastq
unmatched	2059	fQsequences/12-0017_S9/unmatched.fastq
total	117851
Barcode	Count	Location
AAT1aprt	16812	fQsequences/12-0017_S9/AAT1aprt.fastq
ACC1prt	11488	fQsequences/12-0017_S9/ACC1prt.fastq
ADP1prt	18742	fQsequences/12-0017_S9/ADP1prt.fastq
MPIprt	19128	fQsequences/12-0017_S9/MPIprt.fastq
SYA1prt	19434	fQsequences/12-0017_S9/SYA1prt.fastq
VPS13prt	13285	fQsequences/12-0017_S9/VPS13prt.fastq
ZWF1bprt	16293	fQsequences/12-0017_S9/ZWF1bprt.fastq
unmatched	2669	fQsequences/12-0017_S9/unmatched.fastq
total	117851
Barcode	Count	Location
AAT1apft	21797	fQsequences/12-0017-S_S29/AAT1apft.fastq
ACC1pft	12273	fQsequences/12-0017-S_S29/ACC1pft.fastq
ADP1pft	24503	fQsequences/12-0017-S_S29/ADP1pft.fastq
MPIpft	20552	fQsequences/12-0017-S_S29/MPIpft.fastq
SYA1pft	20956	fQsequences/12-0017-S_S29/SYA1pft.fastq
VPS13pft	15929	fQsequences/12-0017-S_S29/VPS13pft.fastq
ZWF1bpft	18301	fQsequences/12-0017-S_S29/ZWF1bpft.fastq
unmatched	2398	fQsequences/12-0017-S_S29/unmatched.fastq
total	136709
Barcode	Count	Location
AAT1aprt	21669	fQsequences/12-0017-S_S29/AAT1aprt.fastq
